CIK,Name,Form,Date,URL
1140410,PIMCO NEW YORK MUNICIPAL INCOME FUND,8-K,20200103,edgar/data/1140410/0001193125-20-001479.txt
1140411,PIMCO CALIFORNIA MUNICIPAL INCOME FUND,8-K,20200103,edgar/data/1140411/0001193125-20-001477.txt
1169445,COMPUTER PROGRAMS & SYSTEMS INC,8-K,20200103,edgar/data/1169445/0001193125-20-001089.txt
1170299,PIMCO MUNICIPAL INCOME FUND II,8-K,20200103,edgar/data/1170299/0001193125-20-001481.txt
1170300,PIMCO CALIFORNIA MUNICIPAL INCOME FUND II,8-K,20200103,edgar/data/1170300/0001193125-20-001482.txt
1170311,PIMCO NEW YORK MUNICIPAL INCOME FUND II,8-K,20200103,edgar/data/1170311/0001193125-20-001486.txt
1181504,PIMCO CALIFORNIA MUNICIPAL INCOME FUND III,8-K,20200103,edgar/data/1181504/0001193125-20-001490.txt
1181506,PIMCO MUNICIPAL INCOME FUND III,8-K,20200103,edgar/data/1181506/0001193125-20-001487.txt
1209709,CERES TACTICAL SYSTEMATIC L.P.,8-K,20200103,edgar/data/1209709/0000899140-20-000008.txt
1235010,MOMENTA PHARMACEUTICALS INC,8-K,20200103,edgar/data/1235010/0001104659-20-000569.txt
1266806,SECOND SIGHT MEDICAL PRODUCTS INC,8-K,20200103,edgar/data/1266806/0001564590-20-000154.txt
1275229,"General Moly, Inc",8-K,20200103,edgar/data/1275229/0001104659-20-000753.txt
1276187,Energy Transfer LP,8-K,20200103,edgar/data/1276187/0001276187-20-000004.txt
1278752,APOLLO INVESTMENT CORP,8-K,20200103,edgar/data/1278752/0001278752-20-000003.txt
1287865,MEDICAL PROPERTIES TRUST INC,8-K,20200103,edgar/data/1287865/0001193125-20-000720.txt
1309082,"CAMBER ENERGY, INC.",8-K,20200103,edgar/data/1309082/0001580695-20-000006.txt
1318605,"Tesla, Inc.",8-K,20200103,edgar/data/1318605/0001564590-20-000161.txt
1325814,Federal Home Loan Bank of Des Moines,8-K,20200103,edgar/data/1325814/0001325814-20-000002.txt
1347858,"22nd Century Group, Inc.",8-K,20200103,edgar/data/1347858/0001104659-20-000902.txt
1356093,"CREATIVE REALITIES, INC.",8-K,20200103,edgar/data/1356093/0001213900-20-000184.txt
1366340,"FINJAN HOLDINGS, INC.",8-K,20200103,edgar/data/1366340/0001366340-20-000001.txt
1371782,MV Oil Trust,8-K,20200103,edgar/data/1371782/0001104659-20-000886.txt
1372299,"Ocugen, Inc.",8-K,20200103,edgar/data/1372299/0001104659-20-000923.txt
1372514,EYEGATE PHARMACEUTICALS INC,8-K,20200103,edgar/data/1372514/0001104659-20-000963.txt
1394319,"Tracon Pharmaceuticals, Inc.",8-K,20200103,edgar/data/1394319/0001564590-20-000223.txt
1396279,"hhgregg, Inc.",8-K,20200103,edgar/data/1396279/0000929638-20-000025.txt
1401040,DiaMedica Therapeutics Inc.,8-K,20200103,edgar/data/1401040/0001437749-20-000102.txt
1403256,"Sculptor Capital Management, Inc.",8-K,20200103,edgar/data/1403256/0001403256-20-000013.txt
1403475,Bank of Marin Bancorp,8-K,20200103,edgar/data/1403475/0001403475-20-000002.txt
1410384,"Q2 Holdings, Inc.",8-K/A,20200103,edgar/data/1410384/0001410384-20-000003.txt
1410428,"XpresSpa Group, Inc.",8-K,20200103,edgar/data/1410428/0001104659-20-000939.txt
1413507,SRC Energy Inc.,8-K,20200103,edgar/data/1413507/0001104659-20-000935.txt
1424182,"Broadstone Net Lease, Inc.",8-K,20200103,edgar/data/1424182/0001564590-20-000167.txt
1426800,"ASSEMBLY BIOSCIENCES, INC.",8-K,20200103,edgar/data/1426800/0001564590-20-000214.txt
1431959,TORCHLIGHT ENERGY RESOURCES INC,8-K,20200103,edgar/data/1431959/0001654954-20-000071.txt
1434418,CONSTELLATION PHARMACEUTICALS INC,8-K,20200103,edgar/data/1434418/0001193125-20-001448.txt
1436208,Legacy Housing Corp,8-K,20200103,edgar/data/1436208/0001558370-20-000033.txt
1437283,"REGO PAYMENT ARCHITECTURES, INC.",8-K/A,20200103,edgar/data/1437283/0001214659-20-000098.txt
1437283,"REGO PAYMENT ARCHITECTURES, INC.",8-K,20200103,edgar/data/1437283/0001214659-20-000064.txt
1439095,MRC GLOBAL INC.,8-K,20200103,edgar/data/1439095/0001439095-20-000005.txt
1440799,MMEX Resources Corp,8-K,20200103,edgar/data/1440799/0001477932-20-000045.txt
1459839,"SI-BONE, Inc.",8-K,20200103,edgar/data/1459839/0001459839-20-000003.txt
1462223,"Recruiter.com Group, Inc.",8-K,20200103,edgar/data/1462223/0001213900-20-000158.txt
1465740,TWO HARBORS INVESTMENT CORP.,8-K/A,20200103,edgar/data/1465740/0001104659-20-000883.txt
1467154,"Novan, Inc.",8-K,20200103,edgar/data/1467154/0001467154-20-000002.txt
1476963,"HEAT BIOLOGICS, INC.",8-K,20200103,edgar/data/1476963/0001553350-20-000008.txt
1481028,"Hypersolar, Inc.",8-K,20200103,edgar/data/1481028/0001213900-20-000081.txt
1496099,New Mountain Finance Corp,8-K,20200103,edgar/data/1496099/0001157523-20-000003.txt
1504619,PennantPark Floating Rate Capital Ltd.,8-K,20200103,edgar/data/1504619/0001171843-20-000074.txt
1505512,Regulus Therapeutics Inc.,8-K,20200103,edgar/data/1505512/0001193125-20-001387.txt
1509745,"LEAP THERAPEUTICS, INC.",8-K,20200103,edgar/data/1509745/0001104659-20-000583.txt
1521168,SandRidge Permian Trust,8-K,20200103,edgar/data/1521168/0001104659-20-000582.txt
1524607,"MPT Operating Partnership, L.P.",8-K,20200103,edgar/data/1524607/0001193125-20-000720.txt
1528098,"Saleen Automotive, Inc.",8-K,20200103,edgar/data/1528098/0001493152-20-000115.txt
1539029,"Clearside Biomedical, Inc.",8-K,20200103,edgar/data/1539029/0001564590-20-000224.txt
1546296,"Professional Diversity Network, Inc.",8-K,20200103,edgar/data/1546296/0001493152-20-000145.txt
1552451,MyoKardia Inc,8-K,20200103,edgar/data/1552451/0001193125-20-001439.txt
1556179,"RMR Industrials, Inc.",8-K,20200103,edgar/data/1556179/0001104659-20-000869.txt
1561680,"TRI Pointe Group, Inc.",8-K/A,20200103,edgar/data/1561680/0001561680-20-000007.txt
1587246,"Cypress Energy Partners, L.P.",8-K,20200103,edgar/data/1587246/0001387131-20-000065.txt
1588272,"NexPoint Capital, Inc.",8-K,20200103,edgar/data/1588272/0001193125-20-000710.txt
1593001,"NightFood Holdings, Inc.",8-K,20200103,edgar/data/1593001/0001213900-20-000139.txt
1606698,Alpine 4 Technologies Ltd.,8-K,20200103,edgar/data/1606698/0001096906-20-000001.txt
1612720,NextDecade Corp.,8-K,20200103,edgar/data/1612720/0001437749-20-000158.txt
1624794,"CSW INDUSTRIALS, INC.",8-K,20200103,edgar/data/1624794/0001624794-20-000011.txt
1631569,Community Healthcare Trust Inc,8-K,20200103,edgar/data/1631569/0001631569-20-000002.txt
1637558,CONSOL Coal Resources LP,8-K,20200103,edgar/data/1637558/0001193125-20-000863.txt
1641398,TMSR HOLDING Co Ltd,8-K,20200103,edgar/data/1641398/0001213900-20-000164.txt
1642159,Reign Sapphire Corp,8-K,20200103,edgar/data/1642159/0001753926-20-000003.txt
1652106,"PB Bancorp, Inc.",8-K,20200103,edgar/data/1652106/0001104659-20-000844.txt
1653247,Waitr Holdings Inc.,8-K,20200103,edgar/data/1653247/0001193125-20-001491.txt
1668370,"Toughbuilt Industries, Inc",8-K,20200103,edgar/data/1668370/0001493152-20-000142.txt
1668428,FGL Holdings,8-K,20200103,edgar/data/1668428/0001193125-20-001386.txt
1679273,"Lamb Weston Holdings, Inc.",8-K,20200103,edgar/data/1679273/0001558370-20-000028.txt
1681206,"NI Holdings, Inc.",8-K,20200103,edgar/data/1681206/0001174947-20-000003.txt
1696558,"Jerash Holdings (US), Inc.",8-K,20200103,edgar/data/1696558/0001104659-20-000888.txt
1702780,"Altice USA, Inc.",8-K,20200103,edgar/data/1702780/0001628280-20-000094.txt
1710366,CONSOL Energy Inc.,8-K,20200103,edgar/data/1710366/0001193125-20-000862.txt
1718405,Mudrick Capital Acquisition Corp,8-K,20200103,edgar/data/1718405/0001104659-20-000884.txt
1723580,Opes Acquisition Corp.,8-K,20200103,edgar/data/1723580/0001213900-20-000122.txt
1741231,Forum Merger II Corp,8-K,20200103,edgar/data/1741231/0001213900-20-000133.txt
1746468,EdtechX Holdings Acquisition Corp.,8-K,20200103,edgar/data/1746468/0001213900-20-000163.txt
1748401,"VIVI HOLDINGS, INC.",8-K,20200103,edgar/data/1748401/0001121781-20-000004.txt
1751299,"Kaleido Biosciences, Inc.",8-K,20200103,edgar/data/1751299/0001193125-20-000861.txt
1751692,"1895 Bancorp of Wisconsin, Inc.",8-K/A,20200103,edgar/data/1751692/0000943374-20-000008.txt
1772704,Goldman Sachs Private Middle Market Credit II LLC,8-K,20200103,edgar/data/1772704/0001193125-20-001453.txt
1776909,Software Acquisition Group Inc.,8-K,20200103,edgar/data/1776909/0001213900-20-000127.txt
1779523,"Muzinich BDC, Inc.",8-K,20200103,edgar/data/1779523/0001213900-20-000119.txt
1784958,BANK 2019-BNK20,8-K/A,20200103,edgar/data/1784958/0001539497-20-000008.txt
1785494,Woodbridge Liquidation Trust,8-K,20200103,edgar/data/1785494/0001140361-20-000226.txt
1791295,Morgan Stanley Capital I Trust 2019-L3,8-K/A,20200103,edgar/data/1791295/0001539497-20-000010.txt
1792414,BANK 2019-BNK23,8-K/A,20200103,edgar/data/1792414/0001539497-20-000006.txt
1794303,CITIGROUP COMMERCIAL MORTGAGE TRUST 2019-C7,8-K/A,20200103,edgar/data/1794303/0001539497-20-000004.txt
203596,WESBANCO INC,8-K,20200103,edgar/data/203596/0001564590-20-000212.txt
315374,HURCO COMPANIES INC,8-K,20200103,edgar/data/315374/0001104659-20-000581.txt
315858,BBX Capital Corp,8-K,20200103,edgar/data/315858/0000315858-20-000006.txt
317540,"Coca-Cola Consolidated, Inc.",8-K,20200103,edgar/data/317540/0001193125-20-001500.txt
33213,EQT Corp,8-K,20200103,edgar/data/33213/0001104659-20-000560.txt
34088,EXXON MOBIL CORP,8-K,20200103,edgar/data/34088/0000034088-20-000004.txt
3545,"ALICO, INC.",8-K,20200103,edgar/data/3545/0000003545-20-000009.txt
354707,HAWAIIAN ELECTRIC INDUSTRIES INC,8-K,20200103,edgar/data/354707/0000354707-20-000002.txt
37008,Winthrop Realty Liquidating Trust,8-K,20200103,edgar/data/37008/0001193805-20-000004.txt
37472,FLEXSTEEL INDUSTRIES INC,8-K,20200103,edgar/data/37472/0000037472-20-000002.txt
4187,"RECYCLING ASSET HOLDINGS, INC.",8-K,20200103,edgar/data/4187/0000897101-20-000005.txt
46207,HAWAIIAN ELECTRIC CO INC,8-K,20200103,edgar/data/46207/0000354707-20-000002.txt
46765,"Helmerich & Payne, Inc.",8-K,20200103,edgar/data/46765/0001104659-20-000849.txt
49938,IMPERIAL OIL LTD,8-K/A,20200103,edgar/data/49938/0001193125-20-001141.txt
54381,KAMAN Corp,8-K,20200103,edgar/data/54381/0001193125-20-001274.txt
59860,GOLDRICH MINING CO,8-K,20200103,edgar/data/59860/0001052918-20-000002.txt
63330,MAUI LAND & PINEAPPLE CO INC,8-K,20200103,edgar/data/63330/0001437749-20-000087.txt
710752,SABINE ROYALTY TRUST,8-K,20200103,edgar/data/710752/0001193125-20-001302.txt
72333,NORDSTROM INC,8-K,20200103,edgar/data/72333/0000072333-20-000004.txt
72971,WELLS FARGO & COMPANY/MN,8-K,20200103,edgar/data/72971/0001387131-20-000067.txt
73309,NUCOR CORP,8-K/A,20200103,edgar/data/73309/0001193125-20-001292.txt
740663,FIRST OF LONG ISLAND CORP,8-K,20200103,edgar/data/740663/0000943374-20-000006.txt
74208,"UDR, Inc.",8-K,20200103,edgar/data/74208/0000074208-20-000004.txt
743758,"CLOUDCOMMERCE, INC.",8-K,20200103,edgar/data/743758/0001065949-20-000001.txt
748268,"Red Cat Holdings, Inc.",8-K,20200103,edgar/data/748268/0001554795-20-000002.txt
754811,U S GLOBAL INVESTORS INC,8-K,20200103,edgar/data/754811/0001185185-20-000011.txt
766701,CAPSTEAD MORTGAGE CORP,8-K,20200103,edgar/data/766701/0001564590-20-000221.txt
771856,"CHAMPIONS ONCOLOGY, INC.",8-K,20200103,edgar/data/771856/0001628280-20-000084.txt
778164,"Pacific Ethanol, Inc.",8-K,20200103,edgar/data/778164/0001213900-20-000147.txt
77877,"PDC ENERGY, INC.",8-K,20200103,edgar/data/77877/0001104659-20-000924.txt
779152,HENRY JACK & ASSOCIATES INC,8-K,20200103,edgar/data/779152/0000779152-20-000003.txt
807863,MITEK SYSTEMS INC,8-K,20200103,edgar/data/807863/0000807863-20-000002.txt
811212,"ThermoGenesis Holdings, Inc.",8-K,20200103,edgar/data/811212/0001437749-20-000095.txt
812796,"SOLIGENIX, INC.",8-K,20200103,edgar/data/812796/0001213900-20-000155.txt
818677,SECURITY FEDERAL CORP,8-K,20200103,edgar/data/818677/0000939057-20-000002.txt
819926,SHARING ECONOMY INTERNATIONAL INC.,8-K,20200103,edgar/data/819926/0001213900-20-000074.txt
827809,NOVELION THERAPEUTICS INC.,8-K,20200103,edgar/data/827809/0001104659-20-000921.txt
832489,"GeoVax Labs, Inc.",8-K,20200103,edgar/data/832489/0001437749-20-000144.txt
845698,GRANT PARK FUTURES FUND LIMITED PARTNERSHIP,8-K,20200103,edgar/data/845698/0000913849-20-000002.txt
85535,ROYAL GOLD INC,8-K/A,20200103,edgar/data/85535/0001558370-20-000023.txt
85535,ROYAL GOLD INC,8-K/A,20200103,edgar/data/85535/0001558370-20-000025.txt
861441,FUTURES PORTFOLIO FUND L.P.,8-K,20200103,edgar/data/861441/0000861441-20-000001.txt
866609,ION GEOPHYSICAL CORP,8-K,20200103,edgar/data/866609/0000866609-20-000005.txt
86759,SANTA FE FINANCIAL CORP,8-K,20200103,edgar/data/86759/0001493152-20-000109.txt
868271,SEVERN BANCORP INC,8-K,20200103,edgar/data/868271/0001140361-20-000198.txt
870385,CAROLINA FINANCIAL CORP,8-K,20200103,edgar/data/870385/0001552781-20-000048.txt
876378,"TRANSENTERIX, INC.",8-K,20200103,edgar/data/876378/0001628280-20-000091.txt
883569,"Fossil Group, Inc.",8-K,20200103,edgar/data/883569/0000883569-20-000002.txt
884144,ASURE SOFTWARE INC,8-K,20200103,edgar/data/884144/0001104659-20-000898.txt
884217,TAILORED BRANDS INC,8-K,20200103,edgar/data/884217/0001104659-20-000971.txt
8868,AVON PRODUCTS INC,8-K,20200103,edgar/data/8868/0000950157-20-000022.txt
911109,MOBILE MINI INC,8-K,20200103,edgar/data/911109/0001193125-20-001380.txt
913144,RENAISSANCERE HOLDINGS LTD,8-K,20200103,edgar/data/913144/0000913144-20-000006.txt
913241,"STEVEN MADDEN, LTD.",8-K,20200103,edgar/data/913241/0001019056-20-000002.txt
922521,FALCONSTOR SOFTWARE INC,8-K,20200103,edgar/data/922521/0000921895-20-000020.txt
925528,HUDSON TECHNOLOGIES INC /NY,8-K,20200103,edgar/data/925528/0001104659-20-000855.txt
928465,AMCON DISTRIBUTING CO,8-K,20200103,edgar/data/928465/0001157523-20-000004.txt
929008,WESCO INTERNATIONAL INC,8-K,20200103,edgar/data/929008/0000929008-20-000002.txt
93410,CHEVRON CORP,8-K,20200103,edgar/data/93410/0000093410-20-000002.txt
942126,TAITRON COMPONENTS INC,8-K,20200103,edgar/data/942126/0001185185-20-000013.txt
96021,SYSCO CORP,8-K,20200103,edgar/data/96021/0001193125-20-001484.txt
